Date,Dior,Chanel,McQueen,McCartney,Versace
25/12/2016,8,21,12,13,2
01/01/2017,8,19,10,12,2
08/01/2017,7,19,10,11,2
15/01/2017,6,18,11,11,1
22/01/2017,9,18,7,10,1
29/01/2017,7,16,8,10,1
05/02/2017,7,19,9,9,1
12/02/2017,9,19,9,9,2
19/02/2017,8,16,8,11,1
26/02/2017,9,18,9,10,1
05/03/2017,7,21,10,12,1
12/03/2017,7,18,9,10,2
19/03/2017,7,20,10,12,2
26/03/2017,8,17,9,11,1
02/04/2017,8,19,9,9,2
09/04/2017,8,18,9,9,2
16/04/2017,6,18,9,8,1
23/04/2017,8,19,9,9,5
30/04/2017,8,20,10,10,4
07/05/2017,8,20,8,10,6
14/05/2017,7,19,8,9,4
21/05/2017,7,16,9,9,4
28/05/2017,8,18,8,10,3
04/06/2017,8,15,10,9,2
11/06/2017,8,18,8,9,2
18/06/2017,6,15,9,10,5
25/06/2017,7,15,9,11,3
02/07/2017,9,16,9,10,4
09/07/2017,8,16,8,11,7
16/07/2017,7,13,10,11,4
23/07/2017,9,13,8,10,4
30/07/2017,8,15,9,10,4
06/08/2017,9,16,8,9,3
13/08/2017,9,17,8,10,2
20/08/2017,9,17,11,9,2
27/08/2017,10,19,10,8,4
03/09/2017,9,20,10,11,4
10/09/2017,9,19,10,9,2
17/09/2017,10,19,10,9,5
24/09/2017,9,20,11,9,6
01/10/2017,10,19,12,11,2
08/10/2017,10,19,10,10,3
15/10/2017,10,17,10,11,3
22/10/2017,11,18,10,9,4
29/10/2017,9,20,10,9,3
05/11/2017,10,21,13,9,4
12/11/2017,10,23,12,9,11
19/11/2017,11,26,13,10,8
26/11/2017,11,26,15,13,6
03/12/2017,11,26,13,11,6
10/12/2017,11,28,13,9,8
17/12/2017,12,29,14,10,7
24/12/2017,10,30,21,14,12
31/12/2017,9,20,17,10,18
07/01/2018,8,23,17,9,23
14/01/2018,9,17,16,12,100
21/01/2018,8,16,15,10,77
28/01/2018,9,19,17,9,56
04/02/2018,8,20,15,9,35
11/02/2018,8,17,16,9,28
18/02/2018,8,17,18,8,24
25/02/2018,7,17,16,9,35
04/03/2018,7,23,18,9,38
11/03/2018,8,24,17,11,32
18/03/2018,7,22,17,11,47
25/03/2018,8,20,19,10,37
01/04/2018,7,19,17,10,21
08/04/2018,8,19,20,9,15
15/04/2018,9,16,19,9,14
22/04/2018,8,17,18,10,13
29/04/2018,9,20,18,9,11
06/05/2018,9,21,19,9,8
13/05/2018,7,19,21,16,6
20/05/2018,9,18,25,20,6
27/05/2018,10,17,21,10,6
03/06/2018,8,18,27,10,7
10/06/2018,9,17,23,9,5
17/06/2018,8,15,19,9,4
24/06/2018,7,13,18,9,4
01/07/2018,8,16,16,8,5
08/07/2018,7,17,21,9,6
15/07/2018,9,16,27,9,6
22/07/2018,9,15,22,9,5
29/07/2018,9,16,21,9,6
05/08/2018,9,17,19,9,5
12/08/2018,9,22,19,9,4
19/08/2018,10,19,22,8,3
26/08/2018,8,18,24,10,4
02/09/2018,9,16,24,13,3
09/09/2018,8,19,23,14,4
16/09/2018,8,19,22,9,13
23/09/2018,9,19,22,8,12
30/09/2018,11,17,25,11,5
07/10/2018,9,17,24,9,5
14/10/2018,10,18,23,9,4
21/10/2018,9,18,25,9,4
28/10/2018,8,19,25,9,4
04/11/2018,9,20,25,9,3
11/11/2018,9,18,29,10,3
18/11/2018,11,24,34,14,4
25/11/2018,11,24,31,11,6
02/12/2018,11,26,31,11,6
09/12/2018,11,29,34,12,3
16/12/2018,12,30,33,12,3
23/12/2018,10,25,47,12,5
30/12/2018,9,21,39,14,6
06/01/2019,10,19,38,12,21
13/01/2019,9,17,32,13,17
20/01/2019,12,19,29,11,62
27/01/2019,12,17,33,11,65
03/02/2019,11,16,29,11,46
10/02/2019,12,19,30,12,32
17/02/2019,12,32,34,12,26
24/02/2019,11,20,32,11,17
03/03/2019,10,38,30,11,13
10/03/2019,11,22,30,11,16
17/03/2019,12,21,30,11,16
24/03/2019,11,20,31,10,17
31/03/2019,12,17,35,12,13
07/04/2019,11,20,35,10,12
14/04/2019,10,18,34,9,10
21/04/2019,12,21,35,11,8
28/04/2019,11,20,36,12,9
05/05/2019,12,22,31,12,8
12/05/2019,13,19,35,11,7
19/05/2019,13,17,33,11,6
26/05/2019,12,16,31,11,7
02/06/2019,11,17,33,10,7
09/06/2019,14,17,33,12,7
16/06/2019,13,19,31,10,7
23/06/2019,12,16,31,10,7
30/06/2019,15,17,32,12,8
07/07/2019,15,15,30,14,7
14/07/2019,14,16,34,14,8
21/07/2019,15,15,31,10,10
28/07/2019,14,15,38,11,8
04/08/2019,15,20,36,10,11
11/08/2019,16,18,33,11,8
18/08/2019,16,19,29,12,7
25/08/2019,14,17,31,10,7
01/09/2019,14,18,35,10,6
08/09/2019,16,19,34,10,5
15/09/2019,15,18,36,11,5
22/09/2019,16,19,34,11,4
29/09/2019,16,17,37,10,5
06/10/2019,16,16,36,8,5
13/10/2019,14,18,33,8,4
20/10/2019,14,17,32,10,5
27/10/2019,13,19,32,9,4
03/11/2019,13,18,36,10,6
10/11/2019,15,21,36,10,5
17/11/2019,15,22,37,10,4
24/11/2019,14,28,44,11,5
01/12/2019,17,28,38,12,5
08/12/2019,16,26,40,11,5
15/12/2019,16,29,42,9,4
22/12/2019,19,31,54,13,7
29/12/2019,16,21,48,11,6
05/01/2020,17,21,46,11,5
12/01/2020,15,19,38,11,7
19/01/2020,15,17,38,10,6
26/01/2020,15,17,36,10,5
02/02/2020,16,18,35,12,5
09/02/2020,17,27,40,9,6
16/02/2020,16,19,37,9,5
23/02/2020,15,16,37,9,4
01/03/2020,17,18,36,10,5
08/03/2020,15,18,29,7,4
15/03/2020,10,14,21,6,5
22/03/2020,11,13,21,8,6
29/03/2020,8,14,24,7,6
05/04/2020,11,13,24,8,5
12/04/2020,12,15,28,9,5
19/04/2020,12,16,26,8,6
26/04/2020,14,17,28,8,6
03/05/2020,14,19,26,9,5
10/05/2020,15,18,30,9,6
17/05/2020,14,17,32,9,5
24/05/2020,15,17,32,9,6
31/05/2020,15,17,30,9,5
07/06/2020,18,18,33,8,4
14/06/2020,18,18,31,8,7
21/06/2020,16,16,31,8,6
28/06/2020,19,17,34,9,6
05/07/2020,21,16,40,9,5
12/07/2020,21,16,34,8,5
19/07/2020,22,16,32,8,4
26/07/2020,22,17,30,8,5
02/08/2020,20,14,29,9,4
09/08/2020,20,16,31,8,5
16/08/2020,22,21,30,7,3
23/08/2020,21,23,31,8,4
30/08/2020,20,18,33,10,3
06/09/2020,21,19,33,10,5
13/09/2020,19,19,28,9,4
20/09/2020,20,20,36,9,4
27/09/2020,20,20,34,10,4
04/10/2020,17,16,30,9,4
11/10/2020,20,21,34,9,4
18/10/2020,20,21,28,7,3
25/10/2020,18,19,28,8,3
01/11/2020,16,20,26,8,2
08/11/2020,19,23,29,8,3
15/11/2020,21,24,28,9,3
22/11/2020,22,27,35,9,4
29/11/2020,22,26,32,9,4
06/12/2020,23,30,32,9,4
13/12/2020,22,28,31,8,3
20/12/2020,27,30,40,11,3
27/12/2020,28,28,35,11,4
03/01/2021,23,23,31,8,5
10/01/2021,22,26,29,8,4
17/01/2021,21,20,29,8,3
24/01/2021,22,19,28,7,4
31/01/2021,20,20,24,9,4
07/02/2021,19,18,28,9,4
14/02/2021,22,19,23,9,4
21/02/2021,19,20,27,9,4
28/02/2021,21,21,26,9,4
07/03/2021,19,23,28,9,3
14/03/2021,21,23,28,8,3
21/03/2021,21,18,28,8,4
28/03/2021,22,17,26,8,4
04/04/2021,21,18,28,10,4
11/04/2021,21,19,28,9,3
18/04/2021,21,18,28,9,4
25/04/2021,23,17,27,8,4
02/05/2021,21,25,29,8,4
09/05/2021,22,21,29,8,5
16/05/2021,23,20,29,7,4
23/05/2021,23,19,27,7,5
30/05/2021,25,19,35,8,4
06/06/2021,26,18,28,8,5
13/06/2021,26,17,24,7,4
20/06/2021,26,17,25,8,3
27/06/2021,21,17,25,9,3
04/07/2021,25,16,25,7,3
11/07/2021,26,16,25,7,9
18/07/2021,25,16,25,8,5
25/07/2021,24,16,25,6,4
01/08/2021,25,17,26,8,4
08/08/2021,25,17,25,9,3
15/08/2021,27,18,25,8,4
22/08/2021,25,17,25,7,4
29/08/2021,26,16,25,8,4
05/09/2021,26,17,27,7,4
12/09/2021,25,17,26,8,4
19/09/2021,26,19,25,8,6
26/09/2021,23,18,24,7,4
03/10/2021,19,13,22,8,3
10/10/2021,20,14,22,7,3
17/10/2021,19,16,20,7,3
24/10/2021,18,15,20,6,2
31/10/2021,18,16,21,8,3
07/11/2021,20,17,24,8,6
14/11/2021,19,17,22,8,5
21/11/2021,23,20,27,9,5
28/11/2021,22,23,25,10,5
05/12/2021,22,23,25,9,5
12/12/2021,23,24,23,7,4
